City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,atafu village,-8.5421,-172.5159,29.16,75,94,4.07,TK,1717205167
84,groningen,53.25,6.75,16.13,93,100,3.09,NL,1717205366
85,constantia,44.1833,28.65,16.5,79,96,3.69,RO,1717205306
86,invercargill,-46.4,168.35,11.68,88,96,6.71,NZ,1717205294
87,gusinoozyorsk,51.2833,106.5,15.36,56,0,1.52,RU,1717205367
88,olonkinbyen,70.9221,-8.7187,0.65,86,6,7.91,SJ,1717205305
89,jonava,55.0833,24.2833,14.48,97,20,1.54,LT,1717205367
90,afaahiti,-17.75,-149.2833,28.93,61,36,1.27,PF,1717205321
91,yacuiba,-22.038,-63.6797,16.0,66,98,1.76,BO,1717205136
92,betio village,1.358,172.9211,32.02,75,35,5.21,KI,1717205367
93,remire-montjoly,4.9167,-52.2667,26.02,100,0,0.0,GF,1717205321
94,pandan,14.0453,124.1694,29.49,80,51,3.15,PH,1717205368
95,singkil,-7.9855,111.4161,27.62,78,96,2.6,ID,1717205368
96,kourou,5.1552,-52.6478,26.03,94,100,2.16,GF,1717205298
97,fale old settlement,-9.3852,-171.2468,29.12,73,100,4.19,TK,1717205167
98,dogubayazit,39.5469,44.0842,13.28,48,0,1.72,TR,1717205368
99,port lincoln,-34.7333,135.8667,14.07,58,0,3.42,AU,1717205297
100,flying fish cove,-10.4217,105.6791,27.82,78,75,4.63,CX,1717205369
101,aykhal,66.0,111.5,13.55,40,91,13.46,RU,1717205369
102,vadso,70.0744,29.7487,8.49,93,100,2.57,NO,1717205094
103,zimovniki,47.1483,42.4633,16.81,92,100,2.47,RU,1717205369
104,kapa'a,22.0752,-159.319,27.99,78,75,8.23,US,1717205369
105,cold lake,54.4502,-110.2017,7.97,93,100,4.12,CA,1717205369
106,broken hill,-31.95,141.4333,12.06,72,54,6.98,AU,1717205267
107,petropavlovsk-kamchatsky,53.0452,158.6483,8.33,61,75,5.0,RU,1717205370
108,hithadhoo,-0.6,73.0833,29.36,73,100,8.6,MV,1717205370
109,mont-dore,-22.2833,166.5833,26.99,99,43,6.38,NC,1717205370
110,kirov,58.5966,49.6601,13.1,87,0,1.79,RU,1717205252
111,lautoka,-17.6167,177.4667,28.92,54,40,6.69,FJ,1717205370
112,zabaykal'sk,49.6333,117.3167,22.95,22,9,4.64,RU,1717205371
113,margaret river,-33.95,115.0667,20.06,69,70,9.57,AU,1717205295
114,muborak,39.2553,65.1528,23.7,21,0,4.46,UZ,1717205371
115,gizo,-8.103,156.8419,28.65,78,100,2.0,SB,1717205108
116,puerto natales,-51.7236,-72.4875,0.62,93,100,0.92,CL,1717205295
117,keflavik,64.0049,-22.5624,8.95,100,100,8.23,IS,1717205314
118,nova xavantina,-14.6667,-52.35,21.55,50,0,1.5,BR,1717205371
119,castlebar,53.85,-9.3,7.4,95,77,1.68,IE,1717205372
120,hovd,48.0056,91.6419,17.04,24,26,3.55,MN,1717205372
121,yurimaguas,-5.9,-76.0833,25.65,67,100,1.08,PE,1717205372
122,galliano,29.4422,-90.2992,26.0,83,0,3.6,US,1717205372
123,sao martinho,39.5144,-9.1311,18.2,90,6,0.15,PT,1717205372
124,inhambane,-23.865,35.3833,21.71,86,0,3.29,MZ,1717205317
125,badger,64.8,-147.5333,20.14,37,75,3.09,US,1717205293
126,ancud,-41.8697,-73.8203,6.98,75,4,2.58,CL,1717205068
127,prince rupert,54.3161,-130.3201,11.05,87,100,13.38,CA,1717205373
128,holualoa,19.6228,-155.9522,26.91,77,75,5.14,US,1717205373
129,la passe,45.5549,-0.8967,13.88,93,4,4.39,FR,1717205306
130,aldinga beach,-35.2793,138.4604,14.8,60,2,2.15,AU,1717205374
131,pisco,-13.7,-76.2167,17.03,82,100,1.54,PE,1717205042
